run_date,repo,language,files,blank,comment,code
2026-07-11,colinstiles/.github,Markdown,8,126,0,306
2026-07-11,colinstiles/.github,YAML,2,17,10,68
2026-07-11,colinstiles/.github,JSON,2,0,0,29
2026-07-11,colinstiles/.github,SVG,2,0,0,8
2026-07-11,colinstiles/cts-code-metrics,HTML,1,71,0,461
2026-07-11,colinstiles/cts-code-metrics,Python,1,102,14,407
2026-07-11,colinstiles/cts-code-metrics,Markdown,1,119,0,254
2026-07-11,colinstiles/cts-code-metrics,Text,1,2,0,13
2026-07-11,colinstiles/cts-gis-portfolio,Markdown,4,4500,0,9319
2026-07-11,colinstiles/cts-gis-portfolio,CSS,4,155,87,3036
2026-07-11,colinstiles/cts-gis-portfolio,LESS,14,34,44,1646
2026-07-11,colinstiles/cts-gis-portfolio,SCSS,14,34,44,1646
2026-07-11,colinstiles/cts-gis-portfolio,SVG,2,0,0,696
2026-07-11,colinstiles/cts-gis-portfolio,HTML,1,35,17,574
2026-07-11,colinstiles/cts-gis-portfolio,JavaScript,1,21,22,58
2026-07-11,colinstiles/cts-gis-portfolio,Text,1,1,0,5
2026-07-11,colinstiles/cts-gis-portfolio,JSON,1,0,0,1
2026-07-11,tin-and-topo/.github,Markdown,8,126,0,290
2026-07-11,tin-and-topo/.github,YAML,2,17,10,68
2026-07-11,tin-and-topo/.github,JSON,2,0,0,29
2026-07-11,tin-and-topo/.github,SVG,2,0,0,8
2026-07-11,tin-and-topo/tt-template,Markdown,2,51,0,123
2026-07-11,tin-and-topo/tt-template,Text,2,6,0,33
2026-07-11,tin-and-topo/tt-template,JSON,1,2,0,24
2026-07-11,tin-and-topo/tinandtopo.github.io,HTML,1,9,11,92
2026-07-11,tin-and-topo/tt-tennessee-public-areas,Markdown,2,51,0,123
2026-07-11,tin-and-topo/tt-tennessee-public-areas,Text,2,6,0,33
2026-07-11,tin-and-topo/tt-tennessee-public-areas,JSON,1,2,0,24
2026-07-11,tin-and-topo/tt-chattanooga-crime,JSON,6,4,0,4517
2026-07-11,tin-and-topo/tt-chattanooga-crime,TypeScript,3,35,2,261
2026-07-11,tin-and-topo/tt-chattanooga-crime,Markdown,2,51,0,123
2026-07-11,tin-and-topo/tt-chattanooga-crime,JavaScript,3,1,1,40
2026-07-11,tin-and-topo/tt-chattanooga-crime,Text,2,6,0,33
2026-07-11,tin-and-topo/tt-chattanooga-crime,HTML,1,0,0,16
